"","call_date2","n"
"1",2019-08-15,232
"2",2018-04-19,221
"3",2016-04-18,218
"4",2018-03-28,217
"5",2018-05-08,217
"6",2017-04-19,215
"7",2016-05-04,211
"8",2018-05-02,210
"9",2018-02-02,207
"10",2016-05-18,204
"11",2018-05-10,203
"12",2018-04-10,202
"13",2018-05-03,201
"14",2018-01-16,199
"15",2018-01-31,198
"16",2017-08-16,197
"17",2018-02-06,196
"18",2017-09-12,195
"19",2018-01-02,195
"20",2017-09-26,194
"21",2019-09-11,194
"22",2018-02-07,193
"23",2016-09-06,192
"24",2019-04-24,192
"25",2016-06-08,191
"26",2018-04-30,191
"27",2017-09-20,190
"28",2019-11-06,190
"29",2016-09-15,189
"30",2016-10-04,189
"31",2017-04-05,189
"32",2017-05-03,189
"33",2018-04-11,189
"34",2016-09-27,188
"35",2016-10-05,188
"36",2017-11-09,188
"37",2018-01-26,188
"38",2018-02-08,188
"39",2016-04-25,187
"40",2017-09-19,187
"41",2017-12-06,187
"42",2016-04-19,186
"43",2016-05-24,186
"44",2017-05-30,186
"45",2017-08-22,186
"46",2017-09-27,186
"47",2018-01-04,186
"48",2018-02-28,186
"49",2018-05-07,186
"50",2016-04-11,184
"51",2016-08-10,184
"52",2016-09-13,184
"53",2016-10-18,184
"54",2016-12-21,184
"55",2017-01-17,184
"56",2017-03-15,184
"57",2018-02-01,184
"58",2018-04-23,184
"59",2016-05-17,183
"60",2016-06-02,182
"61",2016-08-01,182
"62",2017-09-13,182
"63",2018-03-27,182
"64",2019-07-10,182
"65",2016-06-07,181
"66",2017-09-15,181
"67",2018-03-06,181
"68",2017-03-16,180
"69",2017-05-01,180
"70",2018-03-08,179
"71",2018-04-12,179
"72",2017-11-07,178
"73",2018-01-12,178
"74",2018-05-01,178
"75",2018-05-09,178
"76",2017-08-15,177
"77",2017-10-25,177
"78",2018-03-30,177
"79",2018-04-03,177
"80",2016-06-06,176
"81",2016-07-06,176
"82",2017-09-14,176
"83",2018-01-17,176
"84",2019-10-02,176
"85",2017-08-29,175
"86",2017-09-07,175
"87",2018-01-30,175
"88",2018-04-26,175
"89",2019-03-28,175
"90",2019-08-22,175
"91",2016-06-09,174
"92",2017-10-23,174
"93",2018-03-15,174
"94",2019-09-04,174
"95",2016-04-26,173
"96",2017-08-10,173
"97",2017-09-21,173
"98",2017-10-04,173
"99",2018-02-09,173
"100",2018-03-23,173
"101",2018-04-04,173
"102",2018-05-11,173
"103",2017-10-05,172
"104",2018-03-09,172
"105",2018-04-05,172
"106",2018-04-09,172
"107",2016-04-04,171
"108",2016-04-20,171
"109",2017-04-18,171
"110",2017-05-02,171
"111",2017-05-24,171
"112",2017-08-24,171
"113",2018-01-25,171
"114",2018-02-05,171
"115",2018-02-13,171
"116",2019-08-01,171
"117",2016-04-05,170
"118",2016-04-06,170
"119",2016-05-10,170
"120",2016-09-07,170
"121",2016-09-26,170
"122",2016-12-05,170
"123",2017-03-07,170
"124",2017-10-02,170
"125",2016-05-19,169
