TITLE,COMPANY,SALARY,Gender Identity / Ethnicity,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES/TITLES/ETC
Senior Reporter,(Broadcast media),"$125,000 +  $6250 annual bonus",Asian cis female,9,New York,On-air original reporting and analysis; Writing original stories and analysis; Moderating at conferences and events ,"Broadcast media: $104,760 / Trade publication: $63,000 / Broadcast media: $27/h / Magazine: $15/h"
Bureau Chief,A B2B trade publication,"$58,000 ",Cis white female,12,Los Angeles,Run entire west coast bureau,
Editor/Submission Manager,A biotech company,"$114,000 ",Female/white,6,"San Francisco, CA","Editing, project management, comment adjudication",
Digital Editor,A Canadian magazine with international distribution,"$42,000 CAD",Cis white male,7,Remote,"Oversee all publishing on website, social media. Work with print editors. Manage website updates and bug fixes. Content strategy. SEO.",
Associate Photo Editor,A Canadian Media Company,"$57,500 ",Male,16,Toronto,,
Editor-in-Chief,A Canadian sports magazine,"$63,000 (CAD)",CIS white male,7,Toronto,"Oversight of print and digital (including site, social, video, podcasts); management of a small staff of writers and producers. ","I believe starting salary was $50,000 (CAD)"
Editor in Chief,A Chinese Digital News Outlet,"$100,000 after tax",Chinese Male,10,Beijing,"Managing team, editing, and writing",
Managing Editor,A community magazine,"$55,000 ",F POC,5,Toronto,Overseeing a team of five editors and oversee all editorial and photo shoots required for our monthly magazine,
Automotive industry reporter,A Detroit daily newspaper,"55,000",White,5,Detroit,reporting,"35,000, reporter. "
Content strategist,A financial institution,"109,000",F/white,13,North Carolina,Manage/produce editorial content,"72k trade magazine editor, 65k viral video producer, 90k trade association media editor, 55k financial wire services reporter, 32k community newspaper assistant news editor"
Editor/reporter,A financial news service,"126,000",Cis M/White,20,"New York, NY","Report, write, edit, train. Not supervising anyone directly.",
Senior Editor,A Future PLC outlet,"$35,000 ",Cis White male,7,Remote,"Writing editorial, news, and commerce content, editing editorial content of other writers","Starting salary $30,000; previously paid per post at variable rate"
Deputy Editor,A Future PLC web page,"66,800",Female,13,,,
Photojournalist,A Gatehouse daily,"32,000",cis man/white,5,Florida Panhandle ,"Sports, news, photo stories, podcasting, video","Started at 30,000"
IT support Technician,A Gym franchise (I'd rather not say),$21/hr,Female / White,4,California,"Networking, Remote control access, physical PC and Printer repairs, inventory, desktop support, phone support..","IT remote desktop support, Call center work"
Web Producer,A legacy newspaper,"$55,000 ",Cis white man,8,Texas,"Data analysis, social media, audience engagement, etc.","Reporter: $40,000, $55,000; editor $40,000"
Reporter,A McClatchy daily,37000,white female,20,Illinois,"reporting, photography, videography, social media, investigative, breaking",
Photojournalist,A McClatchy daily,"$34,000 ",Cis white woman,2,North Carolina,,
Reporter,A nonprofit news outlet,"$39,000 ",Cis white man,4,Northeastern U.S.,"Reporting and writing news and features for three counties, taking and editing photos, attending government meetings and events across those three counties, etc. ","Before this I worked three paid three-month internships at daily newspapers while an editor of my college paper, and then had a yearlong paid fellowship at a large metropolitan paper."
Editor (Copy editor),A personal finance website,"$60,000 ",cis white female,5,Remote / NYC area,"Copy edit SEO content, assign and manage freelancers, updates to old content, SEO research and article outlining",n/a
editor,A Russian news/opinion mill,$50k,"cis m, white",5,US,making articles concocted by not-native-English speakers coherent,
Reporter,A technology magazine,"$70,000 ",cis Asian-American woman,3,Boston,"Reporting and writing for online, newsletter, and print; some data & interactive work",
Senior staff reporter,A trade publication,"$55,000 ",Male/White,20,"Portland, Oregon","Reporting, writing, posting online content, page layout",
Producer,A+E,75000,cis white female,5,NYC,"write and produce videos, manage editors, pitch and develop concepts",$40/hr Associate Producer
Director,ABC,3500/wk,F,10,NYC,Direct TV series,
Digital Producer,ABC News,"$80,000 ",,,,,
Desk Assistant ,ABC News,$18/hour plus overtime ,WOC,,"Washington, DC ",,
Shareholder Relations,ABC News,"100,000 + 25% bonus",CIS WHITE MALE,25,Little St James,Protecting shareholder interests and aligning editorial input,Assistant to Jeff Epstein
