index,date,title,publication
1,2024-08-14,"After Dele Giwa, Dan Bello Takes the Stage -By Sale Rusulana Yanguruza",    Opinion Nigeria          Opinion Nigeria
2,2024-02-16,"Court Orders FG To Investigate, Prosecute Killers Of Dele Giwa, Other Journalists",    The Will (Nigeria)
3,2024-02-16,"UPDATED: Court orders FG to probe deaths of Dele Giwa, other journalists",    The Punch
4,2021-09-18,AFRICMIL invites young journalists to submit essays on late Dele Giwa,    The Nation (Nigeria)
5,2024-03-07,Dele Giwa: Not a vacuous judgment,    The Nation (Nigeria)
6,2023-10-20,"Dele Giwa: 37 Years After, His Message Remains Valid",    Osun Defender
7,2024-03-06,Re: A Vacuous Judgment on Dele Giwa,    Fresh Angle International Newspaper            Freshangle
8,2024-03-09,A Sound Judgment On Dele Giwa,    Daily Independent (Nigeria) IDOWU ADEWALE
9,2024-03-06,Re: A Vacuous Judgment on Dele Giwa,    Fresh Angle International Newspaper            Freshangle
10,2024-02-16,Court Orders AGF To Re-open Trial Of Dele Giwa's Killers,    Daily Independent (Nigeria) Paschal Njoku
