"","X","filename","sentence","index","date","url","filepath","candidate","shared_article"
"1",1,"america_is_always_disappointing_her_michelle_obama_trashed_for_racist_last_ditch_kamala_pitch.txt","",1,"2024-10-27","https://www.dailywire.com/news/america-is-always-disappointing-her-michelle-obama-trashed-for-racist-last-ditch-kamala-pitch","./kamala_extracted_text/america_is_always_disappointing_her_michelle_obama_trashed_for_racist_last_ditch_kamala_pitch.txt","harris",FALSE
"2",38,"ben_shapiro_breaks_down_kamala_harris_fox_news_interview_full_scale_disaster.txt","",2,"2024-10-16","https://www.dailywire.com/news/ben-shapiro-breaks-down-kamala-harris-fox-news-interview-full-scale-disaster","./kamala_extracted_text/ben_shapiro_breaks_down_kamala_harris_fox_news_interview_full_scale_disaster.txt","harris",FALSE
"3",62,"biden_harris_admin_altered_transcript_of_bidens_garbage_insult_could_have_broken_law.txt","",3,"2024-10-31","https://www.dailywire.com/news/biden-harris-admin-altered-transcript-of-bidens-garbage-insult-could-have-broken-law","./kamala_extracted_text/biden_harris_admin_altered_transcript_of_bidens_garbage_insult_could_have_broken_law.txt","harris",FALSE
"4",86,"biden_harris_admins_illegal_immigration_numbers_are_25_higher_than_reported_study.txt","",4,"2024-10-29","https://www.dailywire.com/news/biden-harris-admins-illegal-immigration-numbers-are-25-higher-than-reported-study","./kamala_extracted_text/biden_harris_admins_illegal_immigration_numbers_are_25_higher_than_reported_study.txt","harris",FALSE
"5",111,"biden_harris_judge_orders_virginia_to_put_non_citizens_back_on_voter_rolls.txt","",5,"2024-10-25","https://www.dailywire.com/news/biden-harris-judge-orders-virginia-to-put-non-citizens-back-on-voter-rolls","./kamala_extracted_text/biden_harris_judge_orders_virginia_to_put_non_citizens_back_on_voter_rolls.txt","harris",FALSE
"6",134,"biden_kamala_granting_quiet_amnesty_to_huge_number_of_illegals_report.txt","",6,"2024-10-24","https://www.dailywire.com/news/biden-kamala-granting-quiet-amnesty-to-huge-number-of-illegals-report","./kamala_extracted_text/biden_kamala_granting_quiet_amnesty_to_huge_number_of_illegals_report.txt","harris",FALSE
"7",157,"biden_on_vacation_kamala_with_beyonce_despite_israels_advance_notice_of_iran_strikes.txt","",7,"2024-10-25","https://www.dailywire.com/news/biden-on-vacation-kamala-with-beyonce-despite-israels-advance-notice-of-iran-strikes","./kamala_extracted_text/biden_on_vacation_kamala_with_beyonce_despite_israels_advance_notice_of_iran_strikes.txt","harris",FALSE
"8",189,"charles_payne_shreds_democrats_kamala_for_erasing_black_men.txt","",8,"2024-10-16","https://www.dailywire.com/news/charles-payne-shreds-democrats-kamala-for-erasing-black-men","./kamala_extracted_text/charles_payne_shreds_democrats_kamala_for_erasing_black_men.txt","harris",FALSE
"9",213,"cnn_commentator_rips_kamala_after_town_hall_a_duck_billed_platitude.txt","",9,"2024-10-25","https://www.dailywire.com/news/cnn-commentator-rips-kamala-after-town-hall-a-duck-billed-platitude","./kamala_extracted_text/cnn_commentator_rips_kamala_after_town_hall_a_duck_billed_platitude.txt","harris",FALSE
"10",235,"cnn_contributor_white_folks_must_vote_for_kamala_to_save_democracy.txt","",10,"2024-10-22","https://www.dailywire.com/news/cnn-contributor-white-folks-must-vote-for-kamala-to-save-democracy","./kamala_extracted_text/cnn_contributor_white_folks_must_vote_for_kamala_to_save_democracy.txt","harris",FALSE
"11",257,"cnn_panel_explodes_over_suggestion_kamala_was_chosen_by_dem_party_elites.txt","",11,"2024-10-25","https://www.dailywire.com/news/cnn-panel-explodes-over-suggestion-kamala-was-chosen-by-dem-party-elites","./kamala_extracted_text/cnn_panel_explodes_over_suggestion_kamala_was_chosen_by_dem_party_elites.txt","harris",FALSE
"12",286,"could_be_something_very_wrong_with_her_trump_calls_on_kamala_to_take_cognitive_test.txt","",12,"2024-10-14","https://www.dailywire.com/news/could-be-something-very-wrong-with-her-trump-calls-on-kamala-to-take-cognitive-test","./kamala_extracted_text/could_be_something_very_wrong_with_her_trump_calls_on_kamala_to_take_cognitive_test.txt","harris",TRUE
"13",305,"crime_in_philadelphia_isnt_going_anywhere_in_kamala_harris_america.txt","",13,"2024-10-31","https://www.dailywire.com/news/crime-in-philadelphia-isnt-going-anywhere-in-kamala-harris-america","./kamala_extracted_text/crime_in_philadelphia_isnt_going_anywhere_in_kamala_harris_america.txt","harris",FALSE
"14",337,"defend_our_country_imprisoned_pro_life_activists_urge_americans_to_vote_against_kamala.txt","",14,"2024-10-31","https://www.dailywire.com/news/defend-our-country-imprisoned-pro-life-activists-urge-americans-to-vote-against-kamala","./kamala_extracted_text/defend_our_country_imprisoned_pro_life_activists_urge_americans_to_vote_against_kamala.txt","harris",TRUE
